receiver,amount
RYU#8896,100
Taj Mahal#5317,1500
Kazuma#3854,1200
yshimura#7617,600
shø#0537,1500
のーちゃん#1090,3700
Katoten#2669,1600
shimomiya_k#2523,500
masaru#3352,500
hebitsuka#1630,100
junya#8799,1200
nyosu#7930,400
Yamaguchi#9075,1300
totokazu#4878,600
Tonny#5693,200
horori🐣#7504,500
bara#2160,500
yawn（よ～ん）#7506,600
xxnn#7718,200
maki#6853,700
uni#3541,300
mashharuki#9415,500
