receiver,amount
hatahata#9831,200
gustave moreau#3331,100
totokazu#4878,100
shin0903#2395,400
hfujii | BTC Payment in Africa#1782,1000
shø#0537,2100
ktakase#1475,500
yawn（よ～ん）#7506,100
terapasta#0359,400
Katoten#2669,1500
xxnn#7718,400
のーちゃん#1090,400
