receiver,amount
ysaito#8278,500
mashharuki#9415,4000
kana.p,500
shin0903,500
sora0513,1500
hammar#6580,500
terapasta,500
nobui #9422,1000
Atsushi Kokubu,500
tty215#0602,500
mrgishi,500
hal_sk#5531,500
56738#2174,500
ik_takagishi,500
Yuki aka Ryoma,500
ryutaro iseki#9190,500
ReIam#8361,500
junk#4633,500
taka#6020,500
Enachan#8322,500
あきやま(rakiyama#8051),500
