receiver,amount
tomoh#4093,400
junya#8799,100
yshimura#7617,1700
Sen#2687,1400
shø#0537,4000
kii#6246,800
dongri727#1250,1200
xxnn#7718,3200
Toshiki#6910,500
karawapo#4391,100
Ryo#2537,400
yawn（よ～ん）#7506,200
yokinist#0759,900
ktakase#1475,3000
maztak#0756,300
神城きらり#5633,700
mango55555go#6826,100
のーちゃん#1090,2600
Taj Mahal#5317,100
haru-quote#3221,200
