receiver,amount
dongri727,1000
mashharuki#9415,1500
https://solana-gif-portal-starter-project-opal.vercel.app/,500
Akihi,1000
ramne#3717,500
khatakey,500
junk#4633,2000
ばら,500
nomado#2101,1500
ymhs,500
DataGu,500
junkei,500
kii#6246,500
