receiver,amount
ahayashi#8172,400
shø#0537,6800
yawn（よ～ん）#7506,100
Sen#2687,200
ktakase#1475,1400
PAPPY#4315,2200
LIB#0108,1500
totokazu#4878,2300
shuhei#5544,600
geeknees#6235,400
yokinist#0759,3900
karawapo#4391,700
yshimura#7617,1100
xxnn#7718,800
tsumichara#9959,800
tashimiz#3164,500
dongri727#1250,100
