receiver,amount
ymhsdev#0694,1000
Yamaguchi,2000
hebitsuka,2500
masaru#3352,2000
KenKen,500
ばら,1000
hisa#5044,500
maki,500
yawn（よ～ん）,500
sttoy（すっとい）,500
yawn（よ～ん）#7506,500
nyosu,500
rakiyama#8051,500
Sawada#1405,500
