receiver,amount
WEBSHINA#0155,700
GypsyR#2983,1000
mashharuki#9415,1400
のーちゃん#1090,2400
shø#0537,3300
haku#0589,400
T.[)¥_ぎる#4815,200
junkei#3092,400
shimomiya_k#2523,400
keit#1039,1100
junk#4633,400
Tonny#5693,500
Katoten#2669,300
T4D4#9381,300
