receiver,amount
nabe#4266,500
desmowater#0289,1000
GypsyR#2983,500
toshiki08#1110,500
がとらいふ#3729,500
kite,500
OTO-SUN#8464,2000
Atsushi Kokubu#1550,500
mosha#6334,500
Kaky#7899,500
onemurizzZ#8878,500
mura#0654,500
