receiver,amount
Yuhei#1882,1000
sora0513,4500
CryptoHaim#1494,500
fujimo21#1489,500
YasuYasu_onFire#2189,1000
ReIam#8361,3000
electron,1000
Atsushi Kokubu,3000
rakiyama#8051,500
nobui #9422,3000
shin0903,500
crypto shiba#6131,500
SoSo,500
pluto#3538,1000
ryutaro iseki#9190,500
Yosuke#1286,2000
kagweb#5661,500
shota,500
jem,500
hamaup#3077,500
Crypto9#5894,500
mashharuki#9415,1000
ymmr#3367,500
なすびぼっち,500
Yuhei,500
junk#4633,1000
kii#6246,500
のーちゃん#1090,500
kuni#7646,500
