receiver,amount
mosha#6334,1500
0xhachi,1000
yoki#0012,500
OTO-SUN#8464,2500
Kody,3000
Kaky#7899,500
takigon#1343,500
mura#0654,1000
keit#1039,2000
OTO-SUN,500
daishin#2396,500
keit,500
Atsushi Kokubu#1550,1000
maguro#5588,500
kii,500
bamb00#6028,500
desmowater#0289,500
nabe#4266,500
tiriebiz#1935,500
