receiver,amount
naoyo4#0545,3400
OTO-SUN#8464,900
Kaky#7899,2100
Yosuke#1286,2700
mashharuki#9415,6500
Tomo | NinjAudit#7394,1800
yawn#7506,400
Yasuaki Yoshii#8070,200
のーちゃん#1090,100
タツヤ#2458,400
shø#0537,2200
junya#8799,700
bamb00#6028,400
mat2#8383,600
えんまい#0064,500
Tonny#5693,400
keit#1039,1200
ahayashi#8172,500
Nagumo#3790,100
isbtty#0457,1200
Katoten#2669,100
masaru#3352,400
0xMasa.eth/まさ#6931,100
