receiver,amount
shimomiya_k#2523,200
のーちゃん#1090,1300
shø#0537,2500
kii#6246,100
junya#8799,1200
kevinmark#0105,200
Yosuke#1286,900
terapasta#0359,600
Katoten#2669,400
Atsushi Kokubu#1550,100
hatahata#9831,500
