receiver,amount
Tomo | NinjAudit#7394,3700
kota3kota3#2984,500
mashharuki#9415,3300
0xhachi#9313,200
Yosuke#1286,2900
junya#8799,2300
Tonny#5693,200
totokazu#4878,300
desmowater#0289,300
haku#0589,1900
shø#0537,1500
のーちゃん#1090,1800
GypsyR#2983,600
naoyo4.btc#0545,2000
mosha#6334,200
masaru#3352,400
Kaky#7899,100
