token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x47ab3AE32aE852abDADa8DC3A39cbE82BAdf95B0,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x25288E6A42f563498Eea48f79eC80eD53E3a3295,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3B7a6446adeB66e4E342ab4d10546B404cE3DE44,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xf635736bab5f3b2d6c01304192Da098a760770E2,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9E6d205afBF66B22BB4B6feA442A5fEE4535920F,500
