token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x076Cf27b6EE15f607353525BAF7F94623CdED1cC,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x1694fa1C5C5163D13c4ef53B75D34261FF06aFCA,300
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xEdDc14a00570d833a29D5f5c7cAf75464b4EdACd,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x00DE80165d1eE0eE96696802C857f1EFbba0E234,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x40795f701371a6F892476e356F2011b040897F0F,1100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x56390DBFC796C0f64041541463ad90D16D7dBec1,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3B7a6446adeB66e4E342ab4d10546B404cE3DE44,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x821d451FB0D9c5de6F818d700B801a29587C3dCa,2900
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xcE871133D7DFB96F282B6f031Bf32380B41af5E2,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xeB174be4D727eDdb699d33273d27218D84270b85,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x59794f3f39c79B4378803a4dD988992447BFbD8B,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x2FdDFe92e22d346A02B1f32E2C8996F09a35FF91,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xaC948c37564221dAE29F4CE052046aAAdb6D2b3C,600
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x00B61F5fa2bbd3FfD45703A04B9Ab6262d75bC36,1400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x64af539998d40A9aff363c90A3549667218F315c,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xf0857e3215145095DAB155A0c9CD1369Afba5247,600
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Ce7042FBf0595775913Cca1D71501fEA1fA2C18,2900
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xFe02D5f988e67F9040C39ed8D7d1a77146197BdB,1200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xE968152304Ea291B05574aDF8F1326536B69096b,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa7c1dc3f64f2336B0A76CfE4F462FA6398DBF281,1200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6C8582AC53c4b01949CCDB02Aa0A4C015744312D,2200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3F367F7959261b49e4aC7d622F4882844f50148e,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x68BCA30eaa290335e72E926576dF04b5cA79EDfc,2900
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7900d57715B9f49Fd3E406A976eBe584131bDC1c,1900
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x2382e6c9cde357a3fa3ecdd255defd3499e572f4,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0ADCbB3c5F4655c3735B29E3ce6011be2c10B478,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Ce7042FBf0595775913Cca1D71501fEA1fA2C18,2900
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x474c5D1e2Ae6bEEdD415e9969dBC61532CAd1D59,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xc8Ae91C248ed90173aa80e8890F9e50Fe654e487,1700
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xc962a50b1f9640944028e95c5e4A7a0977a39e80,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x624E87F4C348859B94930f630a7E74c899c742C1,200
