token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x1182D9DC145CA8C12cC42663804AF8E3d2C6eBDC,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xAD93010c3C5F239bC491B1dBeA5094A7dFcA5c24,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xdFdCaBE1740Ddc21C20EEC9bFe2668B09C9b2cdB,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xf0857e3215145095DAB155A0c9CD1369Afba5247,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9E6d205afBF66B22BB4B6feA442A5fEE4535920F,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9C24F5D1592D4A45DBf8d7453ce1c5093ebBB3b9,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0CF4e589e3213F482ed897B38d69Be90002325A5,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xEDf7268E7127506f1A3F852d3D10A8c9f1E9c5b0,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Cf1Df119e0032489c0f3f998AFbdb72d8459790,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xb47c92E15c113fD4517d9E333f9bE74A0e7080f3,1000
