token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x1D0EE4E1583a1C8DDf769EF94604Ba690793d146,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0253aF22E42674190d0d3BF53863e8076Aaf376D,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3E13a91bbFb776bf02aeA1C57d6904a4714e80C6,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x855522F028F7ebE9De3A5CED4F3A110da0B4c5A2,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4E309267B9ab79133a1CE4AE2372DeB30803FC13,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5BD2A89024e9bc73c6a6406cDE4E28595ed66b52,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x327A10dF93C85EE475B30c36d718A0c233d5a565,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0629CAe5Cd47D3D13DDF449210F73020234167D4,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xeAE94625b079996f58094580bFae3c497132BAb8,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x92614f020d10166367f7b65cdc29b437c55bef95,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6e342A0A1873239cA702cEC5CbB61cF3c50fF2dc,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xBAaB3e27Baabe78e476359C30947B2F97362589D,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x11E2A51C71cC35B69cfB7bEB885a9e422995014E,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3c0aE413Fed289FC891967c5889075Bb18A10788,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7aDc21aC76494Fd0CEc077E396635460BE8889E1,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x704F8A816Fe5Acc38Aa6EB61Dc79608D6dE6faBf,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xdA208FbbC8f515d85B435Eeb3bC76Bb02566fC18,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xbB0B13FdbeA6D49a6D7196c72Be2828287Bbdc13,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x11b61Db31F98114005F2A49F4F73AEc91a599C4D,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa50a60Df1164766798971b95f8C331F7d465A54E,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x8D0Fd2c4081Ca53DB31346229fCdb1E5DC800c6A,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3B5754263044959bfb559977C9D3D29883f093B9,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4e07751EA822dBc8c71B1aC89e971Ed88a089b3f,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x53d13e3496f82E2Ea11EBAf5Dd9B4C0d097B74Ba,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6E18DD753a68ce1B20f58db4Bb00EF5cb1FD1D5b,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x78f73722EBa56738D739D78a59fd9D5020b080E7,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4Ea87ecC6a1cDECE2072b293eb3f3a1f9C7E93cd,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa7c1dc3f64f2336B0A76CfE4F462FA6398DBF281,1000
