token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xB093Bf5e2D6F8508E75A2de2059cE862Eb55d216,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0c4c7e537EFa65796d912f9B2A8090c7A1cC63a3,3000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x2382E6C9Cde357A3fA3ECdD255DefD3499e572F4,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xcE871133D7DFB96F282B6f031Bf32380B41af5E2,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5c3cf998973050F9F88AB52C17dbbfA29ceF8161,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x95D8eB1F3722f82295d97cA9628cd5f9F9C6eFD3,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xF8EcD59Cb657eDDd8A47E0143eF45Ef4b18DC100,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xE53bF65B036d324AF1083abd1E3df8bE6d53D420,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0ADCbB3c5F4655c3735B29E3ce6011be2c10B478,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x70254532aB84d0acDc30851c163e1329A0A4FA6a,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3A5dC9C7D847351dE5D2519EC199EDBa9DD08F29,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xEF8db4646E8A3F2f7eB2368cF285b3f9d65a77B2,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9C24F5D1592D4A45DBf8d7453ce1c5093ebBB3b9,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x171EA855C98543f3bA8d7C2C224004185E473bC4,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9CB8d9E29De0eCa19B8eD8c141ba542aC78C49f3,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5816c229C43cD099ab0d1aea9DC43b75bDED2f94,500
