token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xF2aBbB014F64231Ff86ca7225b3b90ab77b074e7,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x860FD25c1b41e6C5726FC31Ae9E85c69cdFC7faB,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xaF89Bc839f99AD89fFbA5293f0f9DF3A50bba7A5,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xDFF9CFAF61E849338eBBb3A98FeEccf30ea1D3a1,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x704F8A816Fe5Acc38Aa6EB61Dc79608D6dE6faBf,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4e07751EA822dBc8c71B1aC89e971Ed88a089b3f,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xfB62EE35991E55536B7034A8bFE16b9b8f11E287,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5BD2A89024e9bc73c6a6406cDE4E28595ed66b52,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x78f73722EBa56738D739D78a59fd9D5020b080E7,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x15e594f230052F2Bf9adcea03115726b96AA7E02,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5e1DfBA02BC4a5999181D8Ebf26b10b58b0550d0,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x75c76554649b53c3aBa0826f8935d85aC1DDF0EA,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xD6Df090C81437ea6417AB64be87ea12598a9949F,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4Ea87ecC6a1cDECE2072b293eb3f3a1f9C7E93cd,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xbB0B13FdbeA6D49a6D7196c72Be2828287Bbdc13,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x11E2A51C71cC35B69cfB7bEB885a9e422995014E,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xdCb93093424447bF4FE9Df869750950922F1E30B,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5F60BA4e5B8811A3D342904D1fBb165C27A33eAd,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x51908F598A5e0d8F1A3bAbFa6DF76F9704daD072,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6ec83F4229c13503CB4421388f8Cad8234977f71,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3c0aE413Fed289FC891967c5889075Bb18A10788,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x2c39Fb1F67994fF66b617A1DDffC70075fEAb535,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x855522F028F7ebE9De3A5CED4F3A110da0B4c5A2,500
