token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6C8582AC53c4b01949CCDB02Aa0A4C015744312D,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x64a7b1278c4E4CB8fef6F49914a40148cAC61a24,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7900d57715B9f49Fd3E406A976eBe584131bDC1c,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x801BA4D44f389f34102b7E9C21bCF4F9266c5DA9,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0FF051891dEBb1F6bEeE93b932dcae625735A2D8,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x64af539998d40A9aff363c90A3549667218F315c,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4E309267B9ab79133a1CE4AE2372DeB30803FC13,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x8A78638a100f21BEFE74e89c3aaa3e84cc295A62,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xf0857e3215145095DAB155A0c9CD1369Afba5247,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9CB8d9E29De0eCa19B8eD8c141ba542aC78C49f3,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xEdDc14a00570d833a29D5f5c7cAf75464b4EdACd,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xc4efBd8Be98354a3b698f04b938C2E78A27dD23c,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xBFdACd71c76aE633ec4C53c533CBF898aF4f8FD0,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x34eB7d9D79Ee3B2c40071B0E65394E766A3F57DB,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xc77C986B504dEb70669FAa3aea5557Ab88D32eF9,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6e342A0A1873239cA702cEC5CbB61cF3c50fF2dc,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x54e1752Ab633c80D1509077C81a6D57937F360f4,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x75c76554649b53c3aBa0826f8935d85aC1DDF0EA,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x43fF13B40959B5DA57AB153412c10a42523f3cB7,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xA018de4DA5fd24AF6C8c4F080C980D551F737382,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7Ba0F577800B6ef01d63A452a59e069B5B287259,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xAae684cD47b42FE2e34598fC2C165a8241CCBEd2,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa7c1dc3f64f2336B0A76CfE4F462FA6398DBF281,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Ce7042FBf0595775913Cca1D71501fEA1fA2C18,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x8Bc1B6a4c991d632FAC1fFB1EA15746494d99104,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x2B953E5eA9a210e22f52A9081c5Bcc2d4c22fca1,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xd24d4429106729069f407F312ABB41f5a06A2Ef9,2500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x171EA855C98543f3bA8d7C2C224004185E473bC4,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6A4F0d84cc4a7346FEf77837aFd98a29f2C1afB2,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0F93B95C899fEFeC25fEA0B0582591032fDFD711,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xD6Df090C81437ea6417AB64be87ea12598a9949F,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xDf06A761D286C0ae835173236E1f12f1379E4977,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xe91b340255736EF9Aba9529CEE5C69C45A118216,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x00B61F5fa2bbd3FfD45703A04B9Ab6262d75bC36,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xE39777d0dbd658E34d58d427D0320269caEb2Db8,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xE968152304Ea291B05574aDF8F1326536B69096b,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xeB174be4D727eDdb699d33273d27218D84270b85,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xFDcb68c810230f2bf918993086C5a677ce2e1026,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xFe02D5f988e67F9040C39ed8D7d1a77146197BdB,2000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xeF4E6126751dedDbe68f41d93db8102765Ad4F56,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4A7922A50A4d833bac4f36D8F52eEA6739063739,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0072c4034cf2775b07dDBE745a37Fc16ebD93e7a,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x1694fa1C5C5163D13c4ef53B75D34261FF06aFCA,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x623b433cbE54072Ca1Fbc6C42acB1d070986bbe9,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x40795f701371a6F892476e356F2011b040897F0F,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x235f89086262aC3A38c1BE688D8Cb9fCDcfe7000,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x370eFBE4e4dd7361D7EBcdb8e80Aff2BD426425E,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xdA208FbbC8f515d85B435Eeb3bC76Bb02566fC18,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x46F4289910d2dE7b0513d9cfC498085d47939B54,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xBAaB3e27Baabe78e476359C30947B2F97362589D,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xfB62EE35991E55536B7034A8bFE16b9b8f11E287,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x8725e334c1F599eeEDB97108f25048795D77228C,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7876367C9192065346dee6beFd3B5ABecff4f892,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xe739CA21f27621a0fbc849cd5F11D2Bdd8F46CBD,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xB248f5669107E1604398d4d72cbc6b3255C58C90,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x96D006c5804D7344906F9acFB3a8De15Eddf0Cf3,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xD33284930474fd9CD8b09735026Eb1613c8A80A6,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xC8CD968cecb182Bba8CEf17550d7C1Bd93CFEe8c,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x327A10dF93C85EE475B30c36d718A0c233d5a565,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3E13a91bbFb776bf02aeA1C57d6904a4714e80C6,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x30fe8bbe388466DaD29D171b977600ED65CD4aF6,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x16C2e34dDbd34d482bdc7E205dF3c75464DAb921,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xCa0bA7e6681dA6bf99769376d21Be4f05Ee2D19b,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5716616b37f32D5560256c01c968C1f9B46A04C8,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0Df12ACE20c8156eEc603497307771A917640039,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x3B5754263044959bfb559977C9D3D29883f093B9,1000
