token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x78c115F1c8B7D0804FbDF3CF7995B030c512ee78,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x412224535421f980b576880c05fE7E81Bf8a20d4,6800
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x40795f701371a6F892476e356F2011b040897F0F,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x8bc1b6a4c991d632fac1ffb1ea15746494d99104,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xc8Ae91C248ed90173aa80e8890F9e50Fe654e487,1400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7Ba0F577800B6ef01d63A452a59e069B5B287259,2200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xBFdACd71c76aE633ec4C53c533CBF898aF4f8FD0,1500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x00B61F5fa2bbd3FfD45703A04B9Ab6262d75bC36,2300
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x624E87F4C348859B94930f630a7E74c899c742C1,600
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0FF051891dEBb1F6bEeE93b932dcae625735A2D8,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xAae684cD47b42FE2e34598fC2C165a8241CCBEd2,3900
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xE39777d0dbd658E34d58d427D0320269caEb2Db8,700
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x821d451FB0D9c5de6F818d700B801a29587C3dCa,1100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7900d57715B9f49Fd3E406A976eBe584131bDC1c,800
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x474c5D1e2Ae6bEEdD415e9969dBC61532CAd1D59,800
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4A7922A50A4d833bac4f36D8F52eEA6739063739,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xf0857e3215145095DAB155A0c9CD1369Afba5247,100
