token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x40795f701371a6F892476e356F2011b040897F0F,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x56390DBFC796C0f64041541463ad90D16D7dBec1,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6C8582AC53c4b01949CCDB02Aa0A4C015744312D,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0ADCbB3c5F4655c3735B29E3ce6011be2c10B478,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Ce7042FBf0595775913Cca1D71501fEA1fA2C18,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9CB8d9E29De0eCa19B8eD8c141ba542aC78C49f3,300
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xdFdCaBE1740Ddc21C20EEC9bFe2668B09C9b2cdB,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5c565c55cdc2945e865A659c63F80644ac4Ee081,100
